Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:29:22,23-03-2024 12:29:22,0.517s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:29:22,23-03-2024 12:30:00,37.675s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:29:22,23-03-2024 12:29:24,1.103s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:29:24,23-03-2024 12:29:26,2.433s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:29:26,23-03-2024 12:29:28,1.796s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:29:28,23-03-2024 12:29:28,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:29:28,23-03-2024 12:29:28,0.348s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:29:28,23-03-2024 12:29:59,30.088s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:29:59,23-03-2024 12:30:00,1.224s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:30:00,23-03-2024 12:30:00,0.266s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:30:00,23-03-2024 12:30:30,29.706s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:30:00,23-03-2024 12:30:01,1.120s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:30:01,23-03-2024 12:30:02,0.982s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:30:02,23-03-2024 12:30:05,2.786s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:30:05,23-03-2024 12:30:05,0.358s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:30:05,23-03-2024 12:30:06,0.348s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:30:06,23-03-2024 12:30:28,22.351s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:30:28,23-03-2024 12:30:29,1.394s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:30:29,23-03-2024 12:30:30,0.331s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:30:30,23-03-2024 12:31:06,36.451s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:30:30,23-03-2024 12:30:31,1.380s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:30:31,23-03-2024 12:30:32,0.723s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:30:32,23-03-2024 12:30:34,2.098s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:30:34,23-03-2024 12:30:35,0.420s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:30:35,23-03-2024 12:30:35,0.374s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:30:35,23-03-2024 12:31:05,30.114s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:31:05,23-03-2024 12:31:06,1.105s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:31:06,23-03-2024 12:31:06,0.212s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:31:06,23-03-2024 12:31:43,36.511s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:31:06,23-03-2024 12:31:07,0.918s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:31:07,23-03-2024 12:31:09,1.368s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:31:09,23-03-2024 12:31:11,1.811s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:31:11,23-03-2024 12:31:11,0.364s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:31:11,23-03-2024 12:31:11,0.357s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:31:11,23-03-2024 12:31:41,30.103s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:31:41,23-03-2024 12:31:43,1.173s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:31:43,23-03-2024 12:31:43,0.367s,PASSED
